Particle No.,Measured Volume (cm3),Measured Weight (g),Measured' Volume (cm3),Reconstructed Volume (cm3),Volume1 (cm3),Volume2 (cm3),Volume3 (cm3),,Dig1,Dig2,Dig3,Over1,Over2,Over3,Count1,Count2,Count3,Correct Volume,Dig,Actual,Count
37,0,3129.8,1176.6,1265,1259.7,1266,1269.1,,,,,1.07,1.08,1.08,,,,0.946088,0.026956,1.000513121,78
38,0,5669.9,2131.5,2420.1,2506.3,2401.9,2352,,,,,1.18,1.13,1.1,,,,0.90244,0.04878,1.019498607,142
39,0,11998,4510.5,5322.2,5473,5348.3,5145.2,,,,,1.21,1.19,1.14,,,,0.901634,0.049183,0.978228999,132
40,0,10773,4050,5357.6,5880.4,5041.9,5150.4,,,,,1.45,1.24,1.27,,,,0.944336,0.027832,1.041733643,103
,,,,,,,,,,,,,,,,,,0.959798,0.020101,1.030064893,74
,,,,,,,,,,,,,,,,,,0.938746,0.030627,0.948324105,95
,,,,,,,,,,,,,,,,,,0.919312,0.040344,0.981302608,124
,,,,,,,,,,,,,,,,,,0.906172,0.046914,1.063129571,154
,,,,,,,,,,,,,,,,,,0.913254,0.043373,0.987374086,134
,,,,,,,,,,,,,,,,,,0.928046,0.035977,1.147183915,133
,,,,,,,,,,,,,,,,,,0.912454,0.043773,1.04530223,143
,,,,,,,,,,,,,,,,,,0.887922,0.056039,0.955793272,174
,,,,,,,,,,,,,,,,,,0.924728,0.037636,1.022254683,186
,,,,,,,,,,,,,,,,,,0.920746,0.039627,0.996434095,184
,,,,,,,,,,,,,,,,,,0.93545,0.032275,1.07582918,168
,,,,,,,,,,,,,,,,,,0.944746,0.027627,0.943894128,62
,,,,,,,,,,,,,,,,,,0.93878,0.03061,0.956018702,72
,,,,,,,,,,,,,,,,,,0.944032,0.027984,0.936445043,67
,,,,,,,,,,,,,,,,,,0.89997,0.050015,0.989964877,166
,,,,,,,,,,,,,,,,,,0.920886,0.039557,0.960110386,128
,,,,,,,,,,,,,,,,,,0.912548,0.043726,1.058893628,157
,,,,,,,,,,,,,,,,,,0.963776,0.018112,1.068175583,56
,,,,,,,,,,,,,,,,,,0.9338,0.0331,1.016049383,100
,,,,,,,,,,,,,,,,,,0.948328,0.025836,1.035665295,83
,,,,,,,,,,,,,,,,,,0.92858,0.03571,1.210690287,150
,,,,,,,,,,,,,,,,,,0.933818,0.033091,1.162370189,136
,,,,,,,,,,,,,,,,,,0.943744,0.028128,1.184544899,109
,,,,,,,,,,,,,,,,,,0.936212,0.031894,1.350713921,146
,,,,,,,,,,,,,,,,,,0.967526,0.016237,1.323686894,68
,,,,,,,,,,,,,,,,,,0.951134,0.024433,1.219530852,93
,,,,,,,,,,,,,,,,,,0.95432,0.02284,1.353542924,176
,,,,,,,,,,,,,,,,,,0.965894,0.017053,1.41196088,128
,,,,,,,,,,,,,,,,,,0.954834,0.022583,1.40802638,172
,,,,,,,,,,,,,,,,,,0.936036,0.031982,1.213609959,154
,,,,,,,,,,,,,,,,,,0.94015,0.029925,1.301134163,182
,,,,,,,,,,,,,,,,,,0.93966,0.03017,1.230152144,136
,,,,,,,,,,,,,,,,,,0.934986,0.032507,1.276549382,127
,,,,,,,,,,,,,,,,,,0.941896,0.029052,1.255527783,114
,,,,,,,,,,,,,,,,,,0.944534,0.027733,1.172210472,103
,,,,,,,,,,,,,,,,,,0.953618,0.023191,1.35436579,165
,,,,,,,,,,,,,,,,,,0.973552,0.013224,1.267240395,86
,,,,,,,,,,,,,,,,,,0.947174,0.026413,1.173755759,168
,,,,,,,,,,,,,,,,,,0.939448,0.030276,0.992976475,188
,,,,,,,,,,,,,,,,,,0.92057,0.039715,0.962666212,222
,,,,,,,,,,,,,,,,,,0.966254,0.016873,0.969519264,101
,,,,,,,,,,,,,,,,,,0.928786,0.035607,1.194219978,149
,,,,,,,,,,,,,,,,,,0.939514,0.030243,1.314029181,143
,,,,,,,,,,,,,,,,,,0.9228,0.0386,1.195791246,190
,,,,,,,,,,,,,,,,,,0.92715,0.036425,1.269223986,112
