Time Vibration Velocity Vibration Velocity
s mm/s mm/s
 Sleeper center (Location: V2) Ballast center (Location: V4)
0 2.30394691633231 6.61751070208911
7.81249999995737E-4 0.312329510448902 5.69349451456057
0.00156249999999858 -1.49111350921768 4.51439043891554
0.00234374999999432 -2.97883028300716 3.11417129448647
0.00312499999999716 -4.08594785993089 1.53609100132587
0.00390625 -4.81431241020725 -0.141847576380948
0.00468749999999574 -5.22039700956387 -1.80974263172206
0.00546874999999858 -5.37691890657819 -3.35319867960102
0.00624999999999432 -5.37857074454744 -4.68437133474975
0.00703124999999716 -5.33629687293071 -5.76433257204644
0.0078125 -5.30362413993619 -6.57669651689221
0.00859374999999574 -5.29406979429114 -7.10936200582803
0.00937499999999858 -5.31797738291648 -7.37673259384839
0.0101562499999943 -5.35765474374694 -7.40424466875876
0.0109374999999972 -5.40699443510863 -7.23146175883778
0.01171875 -5.47860315356435 -6.92898652824603
0.0124999999999957 -5.56292965370561 -6.56895994032249
0.0132812499999986 -5.60603287823633 -6.18946737434818
0.0140624999999943 -5.53056925489422 -5.79897420049678
0.0148437499999972 -5.28827093582567 -5.40042563657921
0.015625 -4.8715337612327 -4.99860942786721
0.0164062499999957 -4.27058484965525 -4.58012739335536
0.0171874999999986 -3.50010318804861 -4.11664426081551
0.0179687499999943 -2.69072530489417 -3.64731214838394
0.0187499999999972 -1.96973451673834 -3.24255360912192
0.01953125 -1.35500265605003 -2.89308866373283
0.0203124999999957 -0.852400419631734 -2.55169892021684
0.0210937499999986 -0.487295694110769 -2.18091529657551
0.0218749999999943 -0.284438439526732 -1.75724463492478
0.0226562499999972 -0.248808027437053 -1.28310671136278
0.0234375 -0.359771785010587 -0.780677931985309
0.0242187499999957 -0.585952360410829 -0.286183778218847
0.0249999999999986 -0.889523506350515 0.157072467842782
0.0257812499999943 -1.2396349009078 0.512034875397216
0.0265624999999972 -1.62760500898724 0.746446723869172
0.02734375 -2.03581056553773 0.833449693790433
0.0281249999999957 -2.39797053581288 0.781771682409232
0.0289062499999986 -2.64515815081224 0.617603343849721
0.0296874999999943 -2.72567436577277 0.36184899091109
0.0304687499999972 -2.60474492163442 0.0486985893254544
0.03125 -2.30369646720502 -0.295077753269827
0.0320312499999957 -1.89224945995538 -0.669839938079077
0.0328124999999986 -1.43485021753201 -1.07129314968569
0.0335937499999943 -0.961962775898637 -1.45673321402743
0.0343749999999972 -0.501777673167559 -1.76410855289519
0.03515625 -0.0967581300298201 -1.93588909760504
0.0359374999999957 0.218419376400523 -1.9252317100112
0.0367187499999986 0.450509599014246 -1.69436191769554
0.0374999999999943 0.572451190975512 -1.25472288131169
0.0382812499999972 0.48288475565791 -0.714789584122602
0.0390625 0.172501842326459 -0.180471372579299
0.0398437499999957 -0.263530794428894 0.305561054292698
0.0406249999999986 -0.733970201409833 0.701613329772203
0.0414062499999943 -1.16417482262418 0.95733789180858
0.0421874999999972 -1.50048183313209 1.0383066968531
0.04296875 -1.70858077838341 0.943456173934254
0.0437499999999957 -1.77697086840306 0.696772028033371
0.0445312499999986 -1.71509522686831 0.33598836323001
0.0453124999999943 -1.54642081361383 -0.0843074491604192
0.0460937499999972 -1.31523687394263 -0.509533527166631
0.046875 -1.09109611288293 -0.911560833038122
0.0476562499999957 -0.920790445386369 -1.27373856715577
0.0484374999999986 -0.812851131367154 -1.57072446756718
0.0492187499999943 -0.780910412235725 -1.79072309388437
0.0499999999999972 -0.828666788860395 -1.93139214623258
0.05078125 -0.962697817075003 -2.00057434578716
0.0515624999999957 -1.22015991120317 -2.03436705574565
0.0523437499999986 -1.63349061515606 -2.07912257186755
0.0531249999999943 -2.18100309093802 -2.15767436093253
0.0539062499999972 -2.79389864960394 -2.26373730539908
0.0546875 -3.40178951936921 -2.38580534509155
0.0554687499999957 -3.94641368391782 -2.51608339964445
0.0562499999999986 -4.35738373314679 -2.63742205297766
0.0570312499999943 -4.55905185599328 -2.71179169509951
0.0578124999999972 -4.58429493425948 -2.74908503725756
0.05859375 -4.52506035632339 -2.81493360692581
0.0593749999999957 -4.38274030553756 -2.9132270072309
0.0601562499999986 -4.13503593623964 -2.99853734538026
0.0609374999999943 -3.79672789116017 -3.04604090610002
0.0617187499999972 -3.40239680744961 -3.05155477359346
0.0625 -2.9967799833759 -3.02257152759429
0.0632812499999957 -2.62379507074897 -2.96976173682088
0.0640624999999986 -2.32485882860118 -2.90202415745083
0.0648437499999943 -2.12688681545979 -2.81822078930001
0.0656249999999972 -2.03631954569432 -2.70879645931622
0.06640625 -2.05308908068162 -2.56931909645279
0.0671874999999957 -2.16657813621149 -2.40626465692228
0.0679687499999986 -2.31633502045654 -2.21511195438461
0.0687499999999943 -2.42752532185744 -1.98560229778538
0.0695312499999972 -2.44727350813974 -1.72316904797152
0.0703125 -2.33296301422836 -1.4335727264367
0.0710937499999957 -2.08803389726925 -1.1287043315777
0.0718749999999986 -1.77007344377095 -0.839286404708445
0.0726562499999943 -1.44169513301298 -0.59751215393064
0.0734374999999972 -1.12824264466019 -0.411844817085686
0.07421875 -0.836129391139199 -0.276081663121551
0.0749999999999957 -0.578865795961996 -0.185034722275473
0.0757812499999986 -0.369002874950895 -0.131410628877662
0.0765624999999943 -0.184562999395054 -0.0902680162186185
0.0773437499999972 -0.0222195601047733 -0.0342955003986382
0.078125 0.0178790882223205 -0.00519537870928443
0.0789062499999957 -0.125666464815262 -0.0531040361007351
0.0796874999999986 -0.398250704736564 -0.150789898192359
0.0804687499999943 -0.733120652692357 -0.258870571934739
0.0812499999999972 -1.07578430785806 -0.362810864926117
0.08203125 -1.38160251226804 -0.461515455587432
0.0828124999999957 -1.61865274074631 -0.562021168619445
0.0835937499999986 -1.77484232601886 -0.674798938173811
0.0843749999999943 -1.86132668669206 -0.809546085433895
0.0851562499999972 -1.89745060534136 -0.96623567286461
0.0859375 -1.9066708649764 -1.13784865138769
0.0867187499999957 -1.92528651700254 -1.32465194593537
0.0874999999999986 -1.97107249022063 -1.52815013519065
0.0882812499999943 -2.02178523356865 -1.72468925957449
0.0890624999999972 -2.06428081817151 -1.88184267383769
0.08984375 -2.08935669811304 -1.97023249438367
0.0906249999999957 -2.08563551727946 -1.96290332853827
0.0914062499999986 -2.07093794487485 -1.86510351877682
0.0921874999999943 -2.07929301692798 -1.72180361210815
0.0929687499999972 -2.11908884862972 -1.58003841008935
0.09375 -2.16246837834889 -1.45703548159364
0.0945312499999957 -2.18101520881541 -1.35604979263118
0.0953124999999986 -2.1588283799404 -1.28254553218394
0.0960937499999943 -2.07198654877631 -1.24004620802466
0.0968749999999972 -1.87639272936048 -1.20977821379905
0.09765625 -1.61115782383225 -1.1906261092459
0.0984374999999957 -1.40129548366977 -1.23280160011811
0.0992187499999986 -1.2801057179452 -1.33557373641279
0.099999999999994 -1.20379581719049 -1.43443725084513
0.100781249999997 -1.13759113226495 -1.48414945642429
0.1015625 -1.05817745250435 -1.47084958215676
0.102343749999996 -0.959122334311816 -1.40110309675605
0.103124999999999 -0.84623432821656 -1.28733921415422
0.103906249999994 -0.735747778528074 -1.14252787084741
0.104687499999997 -0.637903781287081 -0.981010846581038
0.10546875 -0.545665584711598 -0.816237756856509
0.106249999999996 -0.453367419830217 -0.665559302972036
0.107031249999999 -0.37031640840473 -0.553990431594847
0.107812499999994 -0.282327787223363 -0.484261120769027
0.108593749999997 -0.155318358770048 -0.427124587053687
0.109375 0.0364233074706914 -0.356202388045712
0.110156249999996 0.333222941612636 -0.24446193310302
0.110937499999999 0.759022986447068 -0.0670829332985898
0.111718749999994 1.28640174424575 0.178988174013539
0.112499999999997 1.86529214032911 0.481173125934254
0.11328125 2.46726945430942 0.818122589336747
0.114062499999996 3.07687552657635 1.13939625062744
0.114843749999999 3.65697431655079 1.35170114973434
0.115624999999994 4.14974852962723 1.34426538381602
0.116406249999997 4.51867143752435 1.03432264757509
0.1171875 4.74095102962633 0.392583780846503
0.117968749999996 4.71606930959238 -0.620480588131127
0.118749999999999 4.35877266911305 -2.03737485285879
0.119531249999994 3.70466034306191 -3.78707770105142
0.120312499999997 2.79156801959205 -5.74981782350696
0.12109375 1.6029490331271 -7.82592430023081
0.121874999999996 0.0881176059238935 -9.93145795388204
0.122656249999999 -1.82911498348795 -11.9937532301608
0.123437499999994 -4.20280627532808 -13.945479211329
0.124218749999997 -7.04463933563347 -15.7035650811386
0.125 -10.3322617685616 -17.1521454711768
0.125781249999996 -13.9855128615202 -18.1287291475337
0.126562499999999 -17.9045574824071 -18.4340320402657
0.127343749999994 -21.9804774183881 -17.9328871117673
0.128124999999997 -26.039606266154 -16.6596993620435
0.12890625 -29.9227288430025 -14.8922659461421
0.129687499999996 -33.5101835242989 -13.1332216047399
0.130468749999999 -36.6844631447142 -11.974236958621
0.131249999999994 -39.3733306607619 -11.9746262477579
0.132031249999997 -41.490392628474 -13.5125185320836
0.1328125 -42.8462000064336 -16.5955887984555
0.133593749999996 -43.1607130127524 -20.7567604819783
0.134374999999999 -42.1417956701818 -25.0821073037902
0.135156249999994 -39.6630379824714 -28.3717664058135
0.135937499999997 -35.8823981553936 -29.493966645972
0.13671875 -31.1290567003965 -27.7769612961646
0.137499999999996 -25.8552518389647 -23.3340491109809
0.138281249999999 -20.6178784268991 -17.0960943779312
0.139062499999994 -15.8820116250116 -10.1864628482013
0.139843749999997 -11.9714152171631 -3.42244305096713
0.140625 -9.07471135191196 2.57735770605197
0.141406249999996 -7.19037043637519 7.37715259405752
0.142187499999999 -6.15958537043574 10.8175270498699
0.142968749999994 -5.67733495406106 12.9337538115275
0.143749999999997 -5.35812330621462 13.8525864937855
0.14453125 -4.82593200246111 13.6851335201603
0.145312499999996 -3.72235844027772 12.471309886799
0.146093749999999 -1.78692431893425 10.3464065573045
0.146874999999994 1.0959335035684 7.62330274660644
0.147656249999997 4.95280493668206 4.71148035611869
0.1484375 9.60144071600262 2.11206960595795
0.149218749999996 14.6276518538134 0.256675297649041
0.149999999999999 19.6480060109787 -0.655786303753148
0.150781249999994 24.3522534663065 -0.568385875768754
0.151562499999997 28.4270607925121 0.480687180616811
0.15234375 31.573599433935 2.33205756330472
0.153124999999996 33.4826459417364 4.7404116414373
0.153906249999999 33.8923245066907 7.38831041455292
0.154687499999994 32.6401871734371 9.91331049355841
0.155468749999997 29.6790838315091 12.0134139102364
0.15625 25.2010264160709 13.5051069291793
0.157031249999996 19.5292801728045 14.2567095007553
0.157812499999999 12.8768461584541 14.0391958011592
0.158593749999994 5.50686040962632 12.549835338345
0.159374999999997 -2.10702024011212 9.60684071622024
0.16015625 -9.39946906573495 5.16235738781423
0.160937499999996 -15.9048671232961 -0.661130427443634
0.161718749999999 -21.3785639807661 -7.48249598511999
0.162499999999994 -25.5517845974308 -14.7476199207446
0.163281249999997 -28.0655236762142 -21.7060051968076
0.1640625 -28.7431121597163 -27.3463729735155
0.164843749999996 -27.5833348067546 -30.5232964040141
0.165624999999999 -24.8666343858568 -30.3338086714086
0.166406249999994 -21.2450235237619 -26.6964231412464
0.167187499999997 -17.3958354295964 -20.4542597807386
0.16796875 -13.8945198970296 -12.8892407632399
0.168749999999996 -11.1918041280125 -5.29928435968141
0.169531249999999 -9.44245157646248 1.32091129489314
0.170312499999994 -8.6167997864482 6.39950614708215
0.171093749999997 -8.53699083850548 9.7111160559176
0.171875 -8.86041395923482 11.3968131031396
0.172656249999996 -9.25923386292834 11.7829059004156
0.173437499999999 -9.32317728769234 11.1917319520914
0.174218749999994 -8.61621648485437 10.0190220233515
0.174999999999997 -6.93930321690374 8.66276800285789
0.17578125 -4.22594144725256 7.43696983507958
0.176562499999996 -0.484971439880018 6.64924468967377
0.177343749999999 4.13114295911665 6.5274074208584
0.178124999999994 9.25886440763176 7.09598262350294
0.178906249999997 14.3508006236563 8.27299959170246
0.1796875 19.0160851224383 9.94153734290727
0.180468749999996 23.1070434509408 11.919076529069
0.181249999999999 26.5175037651657 14.0367558286516
0.182031249999994 29.208126804675 16.1735629154372
0.182812499999997 31.1991568745501 18.1954112104057
0.18359375 32.5067981591786 19.9489365966299
0.184374999999996 33.183308287869 21.291887179016
0.185156249999999 33.2677578726476 22.1393548193599
0.185937499999994 32.7698259074418 22.4879073600956
0.186718749999997 31.6956633845018 22.3642587575852
0.1875 30.0646745312658 21.7920870285223
0.188281249999996 27.981679407506 20.81619131985
0.189062499999999 25.6085933704792 19.4905571495246
0.189843749999994 23.1254864452823 17.8613002173081
0.190624999999997 20.7299971905074 15.9431646354602
0.19140625 18.5736103788921 13.6959632971174
0.192187499999996 16.7268663097003 11.0908412255362
0.192968749999999 15.2199547777841 8.20666028728653
0.193749999999994 14.0541237932628 5.25696832650931
0.194531249999997 13.176768361525 2.53269594621573
0.1953125 12.5129331544594 0.318956608365786
0.196093749999996 11.994964160475 -1.14074033494357
0.196874999999999 11.5798504445928 -1.64414461323137
0.197656249999994 11.1864314780357 -1.15626147984919
0.198437499999997 10.6717735855864 0.0759200941187285
0.19921875 9.99668521663355 1.68195732863211
0.199999999999996 9.24632984290898 3.3225129536048
0.200781249999999 8.53102068508098 4.71638198033154
0.201562499999994 7.98055980783116 5.67233944337679
0.202343749999997 7.72931178857173 6.10441687530758
0.203125 7.87126625361639 6.06077525791169
0.203906249999996 8.44202053544993 5.72158627507448
0.204687499999999 9.40871849622486 5.32366018974104
0.205468749999994 10.6538694756705 5.07483737885801
0.206249999999997 11.9806913652712 5.0868130310753
0.20703125 13.1262713565599 5.35905934684296
0.207812499999996 13.841440204495 5.84565616531162
0.208593749999999 13.9517964170786 6.46719842740457
0.209374999999994 13.3527244749683 7.05213253953671
0.210156249999997 12.0473921265944 7.37655885772564
0.2109375 10.1096210777173 7.22646350301709
0.211718749999996 7.60513696922297 6.42838291526219
0.212499999999999 4.59475743686387 4.8924001518002
0.213281249999994 1.14441013259306 2.62174640218036
0.214062499999997 -2.65357141661171 -0.302484502196926
0.21484375 -6.62291266729231 -3.71115440920556
0.215624999999996 -10.5477387069987 -7.3504488552532
0.216406249999999 -14.2677466657974 -10.9427811625298
0.217187499999994 -17.7162602853864 -14.2630328456591
0.217968749999997 -20.9514195050467 -17.2397202390872
0.21875 -24.0278136667439 -19.9581741534102
0.219531249999996 -26.8693775729288 -22.5503971043797
0.220312499999999 -29.3657576621736 -25.1772136309356
0.221093749999994 -31.4684048155863 -28.01873822384
0.221874999999997 -33.1909215428845 -31.1366961464138
0.22265625 -34.5485876116135 -34.2111394584108
0.223437499999996 -35.4922237717198 -36.4440221154562
0.224218749999999 -35.8660062524037 -36.9626125458406
0.224999999999994 -35.4489812204391 -35.2660184848492
0.225781249999997 -34.0914124166559 -31.3290200099629
0.2265625 -31.829827275617 -25.6594910220485
0.227343749999996 -28.8898529488292 -19.1166588248033
0.228124999999999 -25.5582280389784 -12.5078710858928
0.228906249999994 -22.1010114393634 -6.58336463441271
0.229687499999997 -18.7489795399124 -1.91696466632104
0.23046875 -15.6637446936287 1.47299719508669
0.231249999999996 -12.9427748244566 3.89807717858725
0.232031249999999 -10.6346628923169 5.68342589373262
0.232812499999994 -8.70035714115791 7.16583649805296
0.233593749999997 -7.0077064057405 8.50308386947206
0.234375 -5.40157188033263 9.67446763524677
0.235156249999996 -3.72994379379158 10.6827524174714
0.235937499999999 -1.85458277667016 11.4470411444431
0.236718749999994 0.37125695079982 11.8694438491875
0.237499999999997 3.05469071808106 12.0403424911037
0.23828125 6.12846740944533 12.0174133587495
0.239062499999996 9.48584278692866 11.7661953067004
0.239843749999999 13.0915383751316 11.3857794971542
0.240624999999994 16.8559349003898 11.0150695780213
0.241406249999997 20.6521442883795 10.7296429585446
0.2421875 24.35477516325 10.6413798764128
0.242968749999996 27.781733802412 10.8208656779714
0.243749999999999 30.7340831596405 11.2104301451612
0.244531249999994 33.0019905077665 11.7686585570434
0.245312499999997 34.317015949995 12.4989091951047
0.24609375 34.4330036764256 13.3295875037012
0.246874999999996 33.1462604489106 14.1048609024096
0.247656249999999 30.3512962957172 14.6394745404546
0.248437499999994 26.1652813148227 14.7511846938903
0.249218749999997 20.7654056086743 14.2470771741091
0.25 14.3031341816244 12.8979716560069
0.250781249999996 6.98966346935905 10.4513260404666
0.251562499999999 -0.847258420873246 6.70280985244665
0.252343749999994 -8.62860318448899 1.60581455859346
0.253124999999997 -15.7583104504643 -4.63384485002253
0.25390625 -21.9104455785651 -11.5904936897166
0.254687499999996 -26.7993136811997 -18.7340902128959
0.255468749999999 -30.1027677709787 -25.4196751818406
0.256249999999994 -31.5955740273713 -30.8255755810062
0.257031249999997 -31.1884982847056 -33.9633312044462
0.2578125 -29.1477771739918 -34.0157589898709
0.258593749999996 -26.080800776672 -30.9162770015043
