1.381e+07,8.1163e+06,5.4638e+05,5.9797e+05,1.2552e+06,1.1289e+06,9.6477e+05,7.7766e+05,4.224e+05
1.662e+07,7.5317e+06,1.0328e+06,7.3397e+05,1.1269e+06,2.3067e+06,8.9514e+05,1.2319e+06,1.7606e+06
1.1054e+07,5.0377e+06,8.9348e+05,9.0458e+05,7.0814e+05,1.33e+06,5.8314e+05,5.4102e+05,1.0564e+06
1.1255e+07,6.9668e+06,3.5205e+05,3.4074e+05,1.2291e+06,8.2514e+05,4.375e+05,6.0087e+05,5.0326e+05
1.783e+07,8.4966e+06,1.4702e+06,1.1932e+06,1.884e+06,1.5025e+06,1.217e+06,1.0522e+06,1.0148e+06
8.4236e+06,5.5651e+06,2.2189e+05,4.8048e+05,7.6361e+05,3.4867e+05,3.4883e+05,2.1556e+05,4.7942e+05
1.4028e+07,6.6334e+06,6.3959e+05,5.3598e+05,3.1533e+06,5.7028e+05,6.6928e+05,1.4084e+06,4.1817e+05
2.0382e+07,1.2366e+07,6.8585e+05,1.7871e+06,1.2338e+06,1.1805e+06,1.1204e+06,5.5324e+05,1.4555e+06
1.6532e+07,6.7996e+06,1.6523e+06,1.561e+06,1.2895e+06,1.5185e+06,1.2217e+06,1.2987e+06,1.1904e+06
1.8784e+07,8.4968e+06,9.7588e+05,2.5576e+06,4.743e+05,1.8998e+06,6.9035e+05,8.0032e+05,2.8885e+06
1.702e+07,1.085e+07,5.867e+05,6.9781e+05,1.2255e+06,1.4341e+06,8.4333e+05,8.5127e+05,5.3074e+05
1.6876e+07,8.3608e+06,1.1607e+06,6.8054e+05,1.7148e+06,1.6956e+06,8.4794e+05,1.3375e+06,1.0783e+06
1.4905e+07,7.9719e+06,7.2324e+05,6.8929e+05,1.8038e+06,1.255e+06,7.7726e+05,1.0382e+06,6.4682e+05
1.253e+07,6.1479e+06,7.7305e+05,9.6203e+05,1.8151e+06,6.027e+05,4.1188e+05,1.1294e+06,6.8762e+05
1.4147e+07,7.7573e+06,6.4566e+05,3.8344e+05,1.3246e+06,1.9104e+06,6.7438e+05,9.6609e+05,4.8522e+05
2.2041e+07,1.0199e+07,1.4635e+06,9.7711e+05,1.9327e+06,3.0618e+06,1.1725e+06,1.922e+06,1.3122e+06
1.2752e+07,6.897e+06,6.1413e+05,6.9273e+05,1.0836e+06,9.6416e+05,4.3847e+05,1.015e+06,1.0473e+06
1.003e+07,4.7615e+06,6.8082e+05,9.1541e+05,1.1293e+06,4.2333e+05,9.5034e+05,3.1878e+05,8.5069e+05
1.6205e+07,1.012e+07,4.6307e+05,1.5213e+06,1.3082e+06,5.6563e+05,7.6031e+05,6.6947e+05,7.9727e+05
1.4663e+07,9.6332e+06,2.8913e+05,5.7131e+05,1.1924e+06,9.5233e+05,5.3427e+05,7.5283e+05,7.3725e+05
1.4697e+07,8.0088e+06,7.5343e+05,6.4342e+05,7.2736e+05,2.0175e+06,6.5314e+05,8.1185e+05,1.0814e+06
1.6413e+07,9.2511e+06,6.5617e+05,1.0502e+06,1.2195e+06,1.6512e+06,4.3912e+05,6.9403e+05,1.4513e+06
